Zip_code;Zip_name;Municipality_name;Municipality_code;NUTS3_name;NUTS3_code
37600;Valkeakoski Keskus;Valkeakoski;908;Pirkanmaa;6
37630;Vääräkoivu;Valkeakoski;908;Pirkanmaa;6
37700;Sääksmäki;Valkeakoski;908;Pirkanmaa;6
37720;Ritvala;Valkeakoski;908;Pirkanmaa;6
37740;Haukila;Valkeakoski;908;Pirkanmaa;6
37770;Tarttila;Valkeakoski;908;Pirkanmaa;6
37800;Toijala keskus;Akaa;20;Pirkanmaa;6
37830;Viiala Keskus;Akaa;20;Pirkanmaa;6
37850;Metsäkansa;Valkeakoski;908;Pirkanmaa;6
37860;Kärjenniemi;Valkeakoski;908;Pirkanmaa;6
37900;Kylmäkoski Asemanseutu;Akaa;20;Pirkanmaa;6
37910;Kylmäkoski Keskus;Akaa;20;Pirkanmaa;6
37960;Sotkia;Akaa;20;Pirkanmaa;6
38100;Karkku;Sastamala;790;Pirkanmaa;6
38120;Kutala;Sastamala;790;Pirkanmaa;6
38130;Ellivuori;Sastamala;790;Pirkanmaa;6
38140;Kärppälä;Sastamala;790;Pirkanmaa;6
38200;Vammala Keskus;Sastamala;790;Pirkanmaa;6
38210;Vammala Asemanseutu;Sastamala;790;Pirkanmaa;6
38220;Stormi;Sastamala;790;Pirkanmaa;6
38250;Roismala;Sastamala;790;Pirkanmaa;6
38270;Sammaljoki;Sastamala;790;Pirkanmaa;6
38280;Illo;Sastamala;790;Pirkanmaa;6
38300;Kiikka;Sastamala;790;Pirkanmaa;6
38360;Kiikoinen;Sastamala;790;Pirkanmaa;6
38420;Häijää;Sastamala;790;Pirkanmaa;6
38460;Mouhijärvi Keskus;Sastamala;790;Pirkanmaa;6
38470;Hyynilä;Sastamala;790;Pirkanmaa;6
38490;Haukijärvi;Hämeenkyrö;108;Pirkanmaa;6
38510;Suodenniemi;Sastamala;790;Pirkanmaa;6
38600;Lavia Keskus;Pori;609;Satakunta;4
38650;Yli-Putto;Pori;609;Satakunta;4
38670;Kalliala-Haunia;Pori;609;Satakunta;4
38680;Tuunajärvi;Pomarkku;608;Satakunta;4
38700;Kankaanpää Keskus;Kankaanpää;214;Satakunta;4
38710;Myllymäki;Kankaanpää;214;Satakunta;4
38720;Vihteljärvi;Kankaanpää;214;Satakunta;4
38740;Hapuoja;Kankaanpää;214;Satakunta;4
38750;Veneskoski;Kankaanpää;214;Satakunta;4
38760;Venesjärvi;Kankaanpää;214;Satakunta;4
38770;Lohikko;Kankaanpää;214;Satakunta;4
38800;Jämijärvi Keskus;Jämijärvi;181;Satakunta;4
38840;Niinisalo;Kankaanpää;214;Satakunta;4
38860;Suurimaa;Jämijärvi;181;Satakunta;4
38910;Ala-Honkajoki;Kankaanpää;214;Satakunta;4
38920;Vatajankoski;Honkajoki;99;Satakunta;4
38950;Honkajoki Keskus;Honkajoki;99;Satakunta;4
38970;Lauhala;Honkajoki;99;Satakunta;4
39100;Hämeenkyrö Keskus;Hämeenkyrö;108;Pirkanmaa;6
39110;Simuna;Hämeenkyrö;108;Pirkanmaa;6
39130;Sasi;Hämeenkyrö;108;Pirkanmaa;6
39150;Pinsiö;Hämeenkyrö;108;Pirkanmaa;6
39160;Julkujärvi;Ylöjärvi;980;Pirkanmaa;6
39170;Jumesniemi;Hämeenkyrö;108;Pirkanmaa;6
39180;Herttuala;Hämeenkyrö;108;Pirkanmaa;6
39195;Kaipio;Hämeenkyrö;108;Pirkanmaa;6
39200;Kyröskoski;Hämeenkyrö;108;Pirkanmaa;6
39230;Osara;Hämeenkyrö;108;Pirkanmaa;6
39290;Vesajärvi;Hämeenkyrö;108;Pirkanmaa;6
39310;Viljakkala Keskus;Ylöjärvi;980;Pirkanmaa;6
39340;Karhe;Ylöjärvi;980;Pirkanmaa;6
39360;Komi;Ylöjärvi;980;Pirkanmaa;6
39380;Lavajärvi;Hämeenkyrö;108;Pirkanmaa;6
39410;Luhalahti;Ikaalinen;143;Pirkanmaa;6
